误差范围：1.6121102571487427
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6348882000893354
负 | 实际值：0.0 | 预测值（含误差范围）：1.6209338437765837
胜 | 实际值：1.0 | 预测值（含误差范围）：1.618574883788824
负 | 实际值：0.0 | 预测值（含误差范围）：1.626391276717186
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6258083768188953
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6087771859019995
负 | 实际值：3.0 | 预测值（含误差范围）：1.5942894127219915
负 | 实际值：0.0 | 预测值（含误差范围）：1.6250934302806854
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6229872768744826
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5813706535845995
负 | 实际值：0.0 | 预测值（含误差范围）：1.599289720878005
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6022910755127668
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6246471935883164
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6249821772798896
负 | 实际值：0.0 | 预测值（含误差范围）：1.619339040480554
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6185594387352467
负 | 实际值：-2.0 | 预测值（含误差范围）：1.605089114047587
负 | 实际值：3.0 | 预测值（含误差范围）：1.5941907241940498
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6232545208185911
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6103351414203644
负 | 实际值：4.0 | 预测值（含误差范围）：1.593758549541235
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6317655574530363
负 | 实际值：0.0 | 预测值（含误差范围）：1.6242903377860785
负 | 实际值：-3.0 | 预测值（含误差范围）：1.622044363990426
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5877739731222391
胜 | 实际值：1.0 | 预测值（含误差范围）：1.616435432806611
负 | 实际值：0.0 | 预测值（含误差范围）：1.6224589012563229
负 | 实际值：0.0 | 预测值（含误差范围）：1.619901068508625
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6196047733537853
负 | 实际值：-1.0 | 预测值（含误差范围）：1.5983703546226025
负 | 实际值：0.0 | 预测值（含误差范围）：1.5971008613705635
负 | 实际值：4.0 | 预测值（含误差范围）：1.6021535573527217
负 | 实际值：0.0 | 预测值（含误差范围）：1.6347030997276306
